LID Summary

6694 LID(s) in Fabric:
   LID(Range) NodeGUID          Port Type Name
0x00ec        0x001175010176dc08   1 FI c417-123 hfi1_0
0x00ed        0x001175010171b53f   1 FI c417-124 hfi1_0
0x00ee        0x0011750102754e54   0 SW core6 S205B
0x00ef        0x0011750102779c51   0 SW core6 S204B
0x00f0        0x0011750102754f97   0 SW core6 S203B
0x00f1        0x001175010275541c   0 SW core6 S202B
0x00f2        0x0011750102754880   0 SW core6 S207A
0x00f3        0x0011750102754b66   0 SW core6 S206A
0x00f4        0x0011750102754e5d   0 SW core6 S205A
0x00f5        0x001175010171813a   1 FI c417-133 hfi1_0
0x00f6        0x0011750102779965   0 SW core6 S204A
0x00f7        0x0011750102754ac1   0 SW core6 S203A
0x00f8        0x0011750102754f6f   0 SW core6 S202A
0x00f9        0x0011750102754b97   0 SW core6 S201A
0x00fa        0x0011750102754e57   0 SW core6 S208A
0x00fb        0x0011750102754e51   0 SW core6 S208B
0x00fc        0x0011750102754ee5   0 SW core6 S201B
0x00fd        0x001175010171ab5f   1 FI c417-134 hfi1_0
0x00fe        0x00117501010dd2ea   1 FI c417-132 hfi1_0
0x00ff        0x001175010171aae3   1 FI c417-131 hfi1_0
0x0100        0x001175010171a9d2   1 FI c417-122 hfi1_0
0x0101        0x0011750102778a32   0 SW core6 L103B
0x0102        0x001175010171a919   1 FI c417-121 hfi1_0
0x0103        0x001175010171aaa4   1 FI c418-073 hfi1_0
0x0104        0x0011750101718f37   1 FI c418-074 hfi1_0
0x0105        0x001175010176f463   1 FI c402-004 hfi1_0
0x0106        0x001175010176f450   1 FI c402-002 hfi1_0
0x0107        0x0011750101767513   1 FI c418-093 hfi1_0
0x0108        0x0011750101767696   1 FI c418-091 hfi1_0
0x0109        0x001175010275c5ee   0 SW IO1-U
0x010a        0x00117501027555eb   0 SW s417-U
0x010b        0x00117501027540ea   0 SW s419-U
0x010c        0x0011750102754041   0 SW s417-L
0x010d        0x0011750102754136   0 SW s421-L
0x010e        0x0011750102755398   0 SW s415-U
0x010f        0x001175010277959b   0 SW s420-L
0x0110        0x001175010278319d   0 SW s457-L
0x0111        0x0011750102783892   0 SW s459-L
0x0112        0x0011750102783efb   0 SW s462-U
0x0113        0x0011750102783337   0 SW s456-L
0x0114        0x00117501027841cc   0 SW s463-U
0x0115        0x001175010277a091   0 SW s442-U
0x0116        0x001175010275569d   0 SW s441-U
0x0117        0x001175010277a33b   0 SW s440-U
0x0118        0x00117501027540a9   0 SW s439-U
0x0119        0x001175010277a030   0 SW s413-U
0x011a        0x001175010277a07e   0 SW s442-L
0x011b        0x001175010277a017   0 SW s414-L
0x011c        0x0011750102755391   0 SW s412-L
0x011d        0x00117501027878b5   0 SW s412-U
0x011e        0x0011750102754df9   0 SW s439-L
0x011f        0x001175010277a0e9   0 SW s449-L
0x0120        0x00117501027794c5   0 SW s446-L
0x0121        0x001175010275423a   0 SW s450-U
0x0122        0x0011750102754154   0 SW s415-L
0x0123        0x0011750102754978   0 SW s472-L
0x0124        0x001175010275420b   0 SW s474-U
0x0125        0x001175010277a16b   0 SW s470-U
0x0126        0x0011750102754018   0 SW s469-L
0x0127        0x00117501027548fa   0 SW s473-U
0x0128        0x0011750102778978   0 SW s448-L
0x0129        0x001175010277a01a   0 SW s447-L
0x012a        0x0011750102778840   0 SW IO4-U
0x012b        0x001175010277976d   0 SW s403-U
0x012c        0x001175010277a01c   0 SW s404-U
0x012d        0x001175010277899f   0 SW s406-U
0x012e        0x001175010277a198   0 SW s408-U
0x012f        0x001175010277a17a   0 SW s402-L
0x0130        0x0011750102754d9e   0 SW s403-L
0x0131        0x0011750102754fde   0 SW s404-L
0x0132        0x0011750102755264   0 SW IO5-U
0x0133        0x0011750102754fd8   0 SW s405-L
0x0134        0x001175010277a2f5   0 SW s406-L
0x0135        0x001175010277a187   0 SW s408-L
0x0136        0x0011750102755745   0 SW s464-U
0x0137        0x001175010277a2e2   0 SW s467-L
0x0138        0x001175010275c4d5   0 SW s466-U
0x0139        0x0011750102754d9c   0 SW s452-U
0x013a        0x001175010275401c   0 SW IO5-L
0x013b        0x001175010277a2ee   0 SW IO4-L
0x013c        0x001175010277889e   0 SW s466-L
0x013d        0x0011750102779602   0 SW s451-L
0x013e        0x00117501027555c6   0 SW s468-U
0x013f        0x001175010277a094   0 SW s468-L
0x0140        0x001175010277a0ee   0 SW s453-L
0x0141        0x001175010277a09f   0 SW s430-U
0x0142        0x001175010277a03c   0 SW s427-L
0x0143        0x001175010277a136   0 SW s429-L
0x0144        0x00117501027795f6   0 SW s432-U
0x0145        0x00117501027548f8   0 SW s428-L
0x0146        0x0011750102754944   0 SW s414-U
0x0147        0x001175010277a322   0 SW s430-L
0x0148        0x001175010275c51a   0 SW s432-L
0x0149        0x001175010277a31a   0 SW IO6-L
0x014a        0x001175010277a171   0 SW s431-U
0x014b        0x0011750102754172   0 SW IO6-U
0x014c        0x0011750102755232   0 SW s427-U
0x014d        0x0011750102755721   0 SW s428-U
0x014e        0x0011750102755555   0 SW s433-U
0x014f        0x0011750102754b15   0 SW s405-U
0x0150        0x00117501027540ae   0 SW s401-L
0x0151        0x001175010277a195   0 SW s407-U
0x0152        0x0011750102783f88   0 SW s458-L
0x0153        0x0011750102783e3d   0 SW s458-U
0x0154        0x001175010277af33   0 SW s422-L
0x0155        0x001175010275567c   0 SW s436-L
0x0156        0x001175010277a03e   0 SW s437-U
0x0157        0x0011750102755562   0 SW s418-U
0x0158        0x0011750102783d7d   0 SW s461-U
0x0159        0x001175010278330f   0 SW s459-U
0x015a        0x0011750102783d3e   0 SW s463-L
0x015b        0x00117501027555b8   0 SW s413-L
0x015c        0x00117501027553e5   0 SW s443-L
0x015d        0x0011750102727aab   0 SW s475-U
0x015e        0x001175010277a15f   0 SW s471-L
0x015f        0x0011750102779155   0 SW s470-L
0x0160        0x001175010277a08e   0 SW s445-L
0x0161        0x00117501027554d3   0 SW s444-L
0x0162        0x001175010277a313   0 SW s452-L
0x0163        0x0011750102754002   0 SW s453-U
0x0164        0x0011750102755603   0 SW s449-U
0x0165        0x001175010275416b   0 SW s450-L
0x0166        0x001175010277a177   0 SW s443-U
0x0167        0x0011750102754143   0 SW s416-L
0x0168        0x001175010278319a   0 SW s460-L
0x0169        0x0011750102783df1   0 SW s457-U
0x016a        0x001175010277a19e   0 SW s435-U
0x016b        0x00117501027554da   0 SW s416-U
0x016c        0x001175010275494a   0 SW s441-L
0x016d        0x001175010275414a   0 SW s471-U
0x016e        0x001175010277a2e0   0 SW s474-L
0x016f        0x001175010277a07b   0 SW s469-U
0x0170        0x0011750102754fea   0 SW s472-U
0x0171        0x0011750102754a78   0 SW s447-U
0x0172        0x001175010277a183   0 SW s444-U
0x0173        0x001175010277a087   0 SW s465-L
0x0174        0x0011750102754f81   0 SW s465-U
0x0175        0x001175010277a0d5   0 SW s467-U
0x0176        0x001175010275525b   0 SW s402-U
0x0177        0x0011750102755387   0 SW s473-L
0x0178        0x00117501020d87f4   0 SW s475-L
0x0179        0x001175010277a0ec   0 SW s431-L
0x017a        0x0011750102754dff   0 SW s464-L
0x017b        0x00117501027548c5   0 SW core6 L114B
0x017c        0x0011750102754187   0 SW core6 L124B
0x017d        0x00117501027551b9   0 SW core6 L122B
0x017e        0x0011750102754c5c   0 SW core6 L120B
0x017f        0x0011750102754c1e   0 SW core6 L118B
0x0180        0x00117501027549fb   0 SW core6 L116B
0x0181        0x0011750102754863   0 SW core6 L102A
0x0182        0x00117501027541ab   0 SW core6 L124A
0x0183        0x0011750102755731   0 SW core6 L122A
0x0184        0x0011750102754c60   0 SW core6 L120A
0x0185        0x001175010275546c   0 SW core6 L118A
0x0186        0x0011750102754021   0 SW s429-U
